PCIS Permit #,Permit Sub-Type,Issue Date,Valuation
15014-40000-04466,1 or 2 Family Dwelling,10/2/2015,"$50,000.00 "
15010-10000-01180,1 or 2 Family Dwelling,10/13/2015,"$460,000.00 "
14010-10000-03968,1 or 2 Family Dwelling,9/29/2015,"$185,000.00 "
13010-10000-02904,Commercial,7/10/2014,"$7,989,000.00 "
14010-10000-01967,1 or 2 Family Dwelling,5/5/2015,"$199,318.00 "
15014-40000-03297,1 or 2 Family Dwelling,9/22/2015,"$194,000.00 "
14014-20002-05560,1 or 2 Family Dwelling,12/16/2015,"$19,200.00 "
14014-30001-00435,1 or 2 Family Dwelling,4/15/2015,"$27,000.00 "
16010-20000-00764,1 or 2 Family Dwelling,3/16/2016,"$39,000.00 "
14010-30000-01148,1 or 2 Family Dwelling,7/29/2015,"$40,000.00 "
16014-20000-01063,1 or 2 Family Dwelling,3/15/2016,"$15,000.00 "
10010-10000-02539,Apartment,5/8/2014,"$1,453,877.00 "
15010-30000-04698,1 or 2 Family Dwelling,4/8/2016,"$1,129,000.00 "
13010-20000-04478,1 or 2 Family Dwelling,5/11/2015,"$163,000.00 "
16014-20000-00329,1 or 2 Family Dwelling,4/1/2016,"$13,000.00 "
15014-30000-05530,Commercial,2/18/2016,"$350,000.00 "
14010-20000-03395,1 or 2 Family Dwelling,10/13/2015,"$500,000.00 "
15014-30000-04127,1 or 2 Family Dwelling,9/10/2015,"$12,000.00 "
15014-20000-03744,1 or 2 Family Dwelling,4/7/2016,"$300,000.00 "
16014-10000-01228,1 or 2 Family Dwelling,4/1/2016,"$15,000.00 "
13010-20000-04129,1 or 2 Family Dwelling,11/18/2015,"$253,000.00 "
15016-20000-08532,1 or 2 Family Dwelling,6/8/2015,"$10,000.00 "
15010-20000-03852,1 or 2 Family Dwelling,12/15/2015,"$586,000.00 "
14014-10000-01081,1 or 2 Family Dwelling,4/4/2014,"$47,066.00 "
14014-70000-01629,1 or 2 Family Dwelling,5/21/2014,"$15,500.00 "
13014-30000-02732,1 or 2 Family Dwelling,9/6/2013,"$30,000.00 "
15014-10000-05043,1 or 2 Family Dwelling,1/8/2016,"$35,000.00 "
13014-30000-01820,1 or 2 Family Dwelling,7/29/2013,"$250,000.00 "
14010-30001-03102,1 or 2 Family Dwelling,4/16/2015,"$8,000.00 "
15014-30000-00155,1 or 2 Family Dwelling,1/15/2015,"$17,800.00 "
15014-20000-02759,1 or 2 Family Dwelling,9/22/2015,"$60,000.00 "
14016-40000-24994,1 or 2 Family Dwelling,3/4/2015,"$125,000.00 "
15014-20000-05408,1 or 2 Family Dwelling,11/24/2015,"$8,000.00 "
13014-10000-04749,1 or 2 Family Dwelling,11/14/2013,"$3,000.00 "
15014-10000-05337,1 or 2 Family Dwelling,2/5/2016,"$40,000.00 "
15010-30000-01993,Apartment,9/9/2015,"$50,000.00 "
15014-20000-01238,1 or 2 Family Dwelling,3/26/2015,"$37,600.00 "
13010-30000-01329,1 or 2 Family Dwelling,3/26/2014,"$650,000.00 "
14014-20000-05498,1 or 2 Family Dwelling,9/1/2015,"$160,000.00 "
16016-20000-06848,1 or 2 Family Dwelling,3/30/2016,"$54,000.00 "
15014-30001-03896,1 or 2 Family Dwelling,9/18/2015,$501.00 
14010-10001-01939,1 or 2 Family Dwelling,2/25/2016,"$41,000.00 "
13014-20000-03069,1 or 2 Family Dwelling,7/31/2013,"$5,000.00 "
13010-10000-01945,1 or 2 Family Dwelling,9/10/2014,"$175,200.00 "
12014-10000-04508,1 or 2 Family Dwelling,1/30/2013,"$13,200.00 "
15014-30000-01461,1 or 2 Family Dwelling,8/14/2015,"$10,000.00 "
15010-20000-01325,Commercial,11/10/2015,"$8,000.00 "
14010-30000-03791,1 or 2 Family Dwelling,8/6/2015,"$500,000.00 "
15010-20000-00521,1 or 2 Family Dwelling,10/8/2015,"$327,000.00 "
