PCIS Permit #,Permit Sub-Type,Issue Date,Valuation
13014-40000-02521,1 or 2 Family Dwelling,7/11/2013,"$12,726.00 "
15014-70000-04374,1 or 2 Family Dwelling,10/6/2015,"$86,355.00 "
13014-40000-04841,1 or 2 Family Dwelling,12/27/2013,"$35,000.00 "
14014-20003-02358,1 or 2 Family Dwelling,7/28/2015,"$5,000.00 "
14014-20000-05301,1 or 2 Family Dwelling,12/8/2014,"$13,000.00 "
14010-10000-03996,1 or 2 Family Dwelling,5/20/2015,"$367,934.00 "
14010-20001-02964,1 or 2 Family Dwelling,1/7/2016,"$10,000.00 "
13014-20000-00065,1 or 2 Family Dwelling,1/14/2013,"$5,000.00 "
15014-20000-02769,1 or 2 Family Dwelling,2/5/2016,"$20,000.00 "
14010-20000-01198,1 or 2 Family Dwelling,2/10/2016,"$188,000.00 "
14014-20000-03698,1 or 2 Family Dwelling,6/25/2015,"$46,000.00 "
14014-20000-03806,1 or 2 Family Dwelling,10/10/2014,"$5,000.00 "
15014-10000-00954,1 or 2 Family Dwelling,10/2/2015,"$230,670.00 "
15014-70000-03690,1 or 2 Family Dwelling,10/2/2015,"$30,000.00 "
15014-20000-01509,1 or 2 Family Dwelling,4/23/2015,"$11,400.00 "
14014-20000-02358,1 or 2 Family Dwelling,9/22/2014,"$65,000.00 "
14014-70000-04628,1 or 2 Family Dwelling,10/28/2014,"$28,000.00 "
13010-20000-03544,1 or 2 Family Dwelling,12/27/2013,"$460,000.00 "
12014-20000-04636,1 or 2 Family Dwelling,5/23/2013,"$140,000.00 "
15014-10000-02665,1 or 2 Family Dwelling,6/24/2015,"$10,000.00 "
12014-30000-03906,1 or 2 Family Dwelling,3/15/2013,"$100,000.00 "
15016-20000-09944,Apartment,6/2/2015,"$12,000.00 "
15014-20000-00304,1 or 2 Family Dwelling,8/13/2015,"$295,000.00 "
13010-10000-01954,1 or 2 Family Dwelling,3/28/2014,"$15,000.00 "
13010-10000-04187,1 or 2 Family Dwelling,10/31/2014,"$67,261.50 "
14014-30000-05659,1 or 2 Family Dwelling,2/29/2016,"$100,000.00 "
12010-30000-02048,1 or 2 Family Dwelling,6/26/2013,"$200,000.00 "
15010-20000-04570,1 or 2 Family Dwelling,12/28/2015,"$5,000.00 "
14010-10000-03716,1 or 2 Family Dwelling,3/11/2016,"$404,000.00 "
15014-20000-03929,1 or 2 Family Dwelling,1/22/2016,"$50,000.00 "
15014-20000-03079,1 or 2 Family Dwelling,8/31/2015,"$48,000.00 "
15010-30000-01715,1 or 2 Family Dwelling,1/14/2016,"$720,000.00 "
15014-20000-05145,1 or 2 Family Dwelling,11/30/2015,"$125,000.00 "
12014-20001-02626,Apartment,7/19/2013,"$4,000.00 "
12014-30000-01018,1 or 2 Family Dwelling,11/18/2013,"$95,000.00 "
15010-10000-03214,1 or 2 Family Dwelling,9/21/2015,"$7,000.00 "
14010-20000-03404,1 or 2 Family Dwelling,3/31/2016,"$765,000.00 "
14014-20000-01702,1 or 2 Family Dwelling,6/6/2014,"$150,000.00 "
15014-10000-01387,1 or 2 Family Dwelling,6/4/2015,"$15,000.00 "
14010-20000-02700,1 or 2 Family Dwelling,8/21/2014,"$26,400.00 "
14010-10000-04030,1 or 2 Family Dwelling,8/27/2015,"$190,000.00 "
16014-20000-00241,1 or 2 Family Dwelling,1/22/2016,"$14,500.00 "
14014-20000-05050,1 or 2 Family Dwelling,2/18/2015,"$13,000.00 "
15014-20000-05160,1 or 2 Family Dwelling,2/17/2016,"$106,000.00 "
15010-10000-04611,1 or 2 Family Dwelling,2/16/2016,"$3,000.00 "
14010-30000-01379,1 or 2 Family Dwelling,5/27/2015,"$198,000.00 "
13014-10000-04387,1 or 2 Family Dwelling,12/27/2013,"$800,000.00 "
11014-20000-02422,Apartment,7/2/2014,"$400,000.00 "
14010-10000-01550,1 or 2 Family Dwelling,10/3/2014,"$1,053,514.00 "
13014-30000-02546,1 or 2 Family Dwelling,10/17/2013,"$34,500.00 "
15014-20000-04440,1 or 2 Family Dwelling,1/25/2016,"$20,000.00 "
14014-20000-05512,1 or 2 Family Dwelling,4/2/2015,"$240,000.00 "
14010-20000-03437,1 or 2 Family Dwelling,6/1/2015,"$1,000,000.00 "
15010-70000-00653,1 or 2 Family Dwelling,12/2/2015,"$240,000.00 "
12014-70000-04572,1 or 2 Family Dwelling,1/30/2013,"$50,000.00 "
14010-70000-02554,1 or 2 Family Dwelling,11/17/2014,"$26,400.00 "
15010-20000-01514,Commercial,4/30/2015,"$62,500.00 "
15010-10000-02649,Apartment,12/4/2015,"$882,713.00 "
16014-40001-00871,1 or 2 Family Dwelling,3/21/2016,"$1,000.00 "
15014-20000-01425,1 or 2 Family Dwelling,9/10/2015,"$86,500.00 "
14010-10000-01187,1 or 2 Family Dwelling,6/6/2014,"$53,228.00 "
15014-20000-05154,1 or 2 Family Dwelling,1/26/2016,"$85,000.00 "
12010-20000-01716,1 or 2 Family Dwelling,4/16/2013,"$4,000.00 "
15010-30000-00589,1 or 2 Family Dwelling,4/29/2015,"$8,000.00 "
15010-20000-00250,1 or 2 Family Dwelling,4/27/2015,"$250,000.00 "
14010-10000-01928,Apartment,12/9/2015,"$25,956,462.00 "
14010-10000-03492,1 or 2 Family Dwelling,2/3/2015,"$750,000.00 "
14010-10000-00103,Apartment,5/19/2015,"$15,276,710.00 "
13010-20000-04182,1 or 2 Family Dwelling,8/27/2015,"$182,000.00 "
15014-10000-05959,1 or 2 Family Dwelling,3/2/2016,"$48,300.00 "
14010-10000-01376,1 or 2 Family Dwelling,12/16/2015,"$433,685.00 "
13014-20000-00033,1 or 2 Family Dwelling,2/20/2013,"$27,000.00 "
16014-20000-00066,1 or 2 Family Dwelling,1/28/2016,"$75,000.00 "
16010-20000-00686,1 or 2 Family Dwelling,3/31/2016,"$593,000.00 "
15010-20000-03642,1 or 2 Family Dwelling,1/8/2016,"$27,000.00 "
13010-30000-03648,1 or 2 Family Dwelling,3/26/2014,"$1,500,000.00 "
15010-10000-01985,1 or 2 Family Dwelling,9/10/2015,"$33,440.00 "
15010-20000-02514,1 or 2 Family Dwelling,7/14/2015,"$31,000.00 "
15014-20000-02744,1 or 2 Family Dwelling,10/16/2015,"$32,000.00 "
14014-20000-01315,1 or 2 Family Dwelling,4/3/2014,"$70,000.00 "
13014-20002-02977,1 or 2 Family Dwelling,1/31/2014,"$6,200.00 "
13010-10000-02239,Commercial,12/19/2013,"$25,000.00 "
15014-20000-02079,1 or 2 Family Dwelling,6/10/2015,"$45,000.00 "
13014-10000-02270,1 or 2 Family Dwelling,9/12/2013,"$88,000.00 "
12010-10000-02533,1 or 2 Family Dwelling,3/5/2013,"$1,500,000.00 "
14010-20000-01340,1 or 2 Family Dwelling,8/6/2015,"$1,450,000.00 "
14010-10000-01944,1 or 2 Family Dwelling,10/20/2015,"$33,825.00 "
14010-10000-02674,1 or 2 Family Dwelling,2/20/2015,"$30,000.00 "
13014-10000-03261,1 or 2 Family Dwelling,8/20/2013,"$25,574.00 "
13014-20000-02115,1 or 2 Family Dwelling,10/11/2013,"$40,000.00 "
15010-70000-03711,1 or 2 Family Dwelling,12/29/2015,"$8,000.00 "
13010-20000-04682,1 or 2 Family Dwelling,5/4/2015,"$55,000.00 "
15014-30000-00060,1 or 2 Family Dwelling,7/7/2015,"$100,000.00 "
16010-30000-00364,1 or 2 Family Dwelling,2/24/2016,"$6,000.00 "
14014-20000-04844,1 or 2 Family Dwelling,3/19/2015,"$250,000.00 "
13014-10000-00290,1 or 2 Family Dwelling,9/27/2013,"$795,000.00 "
13014-10000-03535,1 or 2 Family Dwelling,9/11/2013,"$8,000.00 "
13014-70000-00838,1 or 2 Family Dwelling,4/5/2013,"$15,000.00 "
15016-10000-04019,Commercial,11/25/2015,"$11,000,000.00 "
15010-20000-01133,1 or 2 Family Dwelling,9/17/2015,"$45,000.00 "
13010-20000-04131,1 or 2 Family Dwelling,11/18/2015,"$253,000.00 "
14014-20000-01025,1 or 2 Family Dwelling,3/28/2014,"$35,000.00 "
14010-40000-00326,1 or 2 Family Dwelling,10/1/2014,"$643,000.00 "
16010-30000-00245,1 or 2 Family Dwelling,3/1/2016,"$425,000.00 "
15010-10000-02893,1 or 2 Family Dwelling,2/2/2016,"$188,000.00 "
14016-20002-24681,1 or 2 Family Dwelling,3/10/2016,$0.00 
13010-10000-00345,Commercial,12/16/2015,"$600,000.00 "
13014-20000-02922,1 or 2 Family Dwelling,9/13/2013,"$137,000.00 "
16014-30000-00610,1 or 2 Family Dwelling,2/18/2016,"$60,000.00 "
14010-30000-03754,1 or 2 Family Dwelling,4/24/2015,"$80,000.00 "
15010-20000-02292,1 or 2 Family Dwelling,10/23/2015,"$5,000.00 "
15014-10000-00315,1 or 2 Family Dwelling,5/7/2015,"$167,862.00 "
13010-10000-00027,Apartment,7/9/2014,"$14,930,000.00 "
14016-20001-09106,1 or 2 Family Dwelling,8/1/2014,"$25,000.00 "
14014-10000-04771,Commercial,1/14/2015,"$200,000.00 "
12014-20000-04628,1 or 2 Family Dwelling,3/27/2013,"$34,000.00 "
12014-30000-04094,1 or 2 Family Dwelling,3/27/2013,"$35,000.00 "
14014-30000-05119,1 or 2 Family Dwelling,11/25/2014,"$20,000.00 "
15010-10000-01732,Apartment,12/9/2015,"$1,273,000.00 "
15014-10000-00312,1 or 2 Family Dwelling,6/2/2015,"$87,400.00 "
13014-20000-04327,1 or 2 Family Dwelling,11/14/2013,"$130,000.00 "
13014-30000-02607,1 or 2 Family Dwelling,12/9/2013,"$198,650.00 "
15014-20000-00856,1 or 2 Family Dwelling,3/4/2015,"$40,000.00 "
14016-10000-19285,Commercial,3/5/2015,"$2,000,000.00 "
14014-20000-01674,1 or 2 Family Dwelling,5/8/2014,"$14,000.00 "
13014-10000-03452,1 or 2 Family Dwelling,8/29/2013,"$20,924.00 "
15014-20000-02695,1 or 2 Family Dwelling,9/25/2015,"$8,900.00 "
15014-20000-01313,1 or 2 Family Dwelling,5/29/2015,"$75,000.00 "
15014-10000-01122,1 or 2 Family Dwelling,7/6/2015,"$250,000.00 "
14014-30000-05261,1 or 2 Family Dwelling,12/4/2014,"$12,000.00 "
14014-10000-02473,Apartment,9/19/2014,"$2,000.00 "
15014-10000-00235,1 or 2 Family Dwelling,6/29/2015,"$7,000.00 "
12010-10000-00596,Commercial,6/26/2014,"$30,500.00 "
14014-20000-04967,1 or 2 Family Dwelling,11/6/2015,"$8,000.00 "
13010-20000-03784,1 or 2 Family Dwelling,3/18/2016,"$185,000.00 "
15014-20000-05664,1 or 2 Family Dwelling,12/11/2015,"$18,000.00 "
13014-20000-00208,1 or 2 Family Dwelling,4/19/2013,"$150,000.00 "
14014-10000-02234,Apartment,11/7/2014,"$130,000.00 "
14014-10000-02476,Apartment,9/19/2014,"$2,000.00 "
15010-20000-02673,1 or 2 Family Dwelling,3/23/2016,"$256,741.00 "
14010-30000-02888,1 or 2 Family Dwelling,2/26/2016,"$550,000.00 "
14014-20000-02783,1 or 2 Family Dwelling,8/1/2014,"$85,000.00 "
13010-10000-03768,1 or 2 Family Dwelling,5/14/2015,"$264,017.00 "
15014-20000-05576,1 or 2 Family Dwelling,1/22/2016,"$5,000.00 "
14014-20000-03583,1 or 2 Family Dwelling,11/3/2014,"$44,000.00 "
13014-20000-00331,1 or 2 Family Dwelling,2/7/2013,"$7,000.00 "
16014-20000-00384,1 or 2 Family Dwelling,4/15/2016,"$50,000.00 "
15010-20000-02730,1 or 2 Family Dwelling,12/14/2015,"$238,000.00 "
14010-10000-02684,1 or 2 Family Dwelling,11/30/2015,"$310,000.00 "
15014-20000-00250,1 or 2 Family Dwelling,2/18/2015,"$33,200.00 "
15014-30000-03549,1 or 2 Family Dwelling,12/9/2015,"$100,000.00 "
15014-30000-05199,1 or 2 Family Dwelling,11/18/2015,"$20,000.00 "
13010-20000-03205,1 or 2 Family Dwelling,12/10/2015,"$330,000.00 "
15010-70000-04468,1 or 2 Family Dwelling,2/26/2016,"$350,000.00 "
15014-20000-01624,1 or 2 Family Dwelling,4/20/2015,"$5,000.00 "
16010-30000-00633,1 or 2 Family Dwelling,4/7/2016,"$10,000.00 "
16014-20000-00757,1 or 2 Family Dwelling,2/22/2016,"$60,000.00 "
14014-20000-00451,1 or 2 Family Dwelling,2/14/2014,"$40,000.00 "
13010-10003-00965,1 or 2 Family Dwelling,9/19/2014,"$198,720.00 "
15014-20000-05774,1 or 2 Family Dwelling,12/16/2015,"$26,400.00 "
15010-10000-01611,1 or 2 Family Dwelling,11/9/2015,"$270,000.00 "
13014-20000-03937,1 or 2 Family Dwelling,10/22/2013,"$75,000.00 "
13014-20000-01882,1 or 2 Family Dwelling,6/19/2013,"$240,000.00 "
15010-10000-02214,1 or 2 Family Dwelling,2/22/2016,"$3,450,000.00 "
15014-70000-03296,1 or 2 Family Dwelling,7/27/2015,"$17,000.00 "
14010-10000-00181,1 or 2 Family Dwelling,1/26/2016,"$113,685.00 "
13010-20000-00775,1 or 2 Family Dwelling,10/23/2013,"$132,000.00 "
14014-20000-01117,1 or 2 Family Dwelling,5/21/2014,"$40,000.00 "
14010-20000-01699,1 or 2 Family Dwelling,8/7/2014,"$210,000.00 "
12014-20000-03995,1 or 2 Family Dwelling,11/14/2013,"$15,000.00 "
14010-10000-01452,1 or 2 Family Dwelling,7/29/2014,"$15,800.00 "
14010-10000-02421,1 or 2 Family Dwelling,2/20/2015,"$1,580,000.00 "
14014-20000-02480,1 or 2 Family Dwelling,10/1/2014,"$45,000.00 "
15014-20000-04598,1 or 2 Family Dwelling,2/16/2016,"$50,000.00 "
15014-20000-01064,1 or 2 Family Dwelling,11/2/2015,"$154,000.00 "
16014-30000-01226,Apartment,3/30/2016,"$9,000.00 "
14014-20000-04045,1 or 2 Family Dwelling,9/24/2014,"$15,000.00 "
16010-20000-00725,1 or 2 Family Dwelling,4/8/2016,"$417,000.00 "
13014-20000-02130,1 or 2 Family Dwelling,6/5/2013,"$45,000.00 "
13010-20000-00654,1 or 2 Family Dwelling,6/28/2013,"$20,000.00 "
15010-20000-03692,Commercial,1/14/2016,"$80,000.00 "
14010-20000-02438,1 or 2 Family Dwelling,11/30/2015,"$184,000.00 "
15014-20000-01792,1 or 2 Family Dwelling,5/12/2015,"$70,000.00 "
15010-10000-01626,1 or 2 Family Dwelling,11/12/2015,"$217,240.00 "
13014-10004-05330,1 or 2 Family Dwelling,3/1/2016,"$10,000.00 "
15010-20000-02861,1 or 2 Family Dwelling,10/27/2015,"$660,000.00 "
15014-40000-02170,1 or 2 Family Dwelling,12/7/2015,"$100,000.00 "
12010-10000-01927,Apartment,8/14/2015,"$13,500,000.00 "
15016-20000-26338,Commercial,3/15/2016,"$120,000.00 "
15010-20000-01817,1 or 2 Family Dwelling,1/15/2016,"$482,000.00 "
14010-20000-02743,1 or 2 Family Dwelling,8/5/2015,"$595,000.00 "
15016-30000-23777,1 or 2 Family Dwelling,12/30/2015,"$80,000.00 "
11014-10001-01571,1 or 2 Family Dwelling,11/21/2014,"$20,000.00 "
15014-20000-00807,1 or 2 Family Dwelling,3/24/2015,"$2,000.00 "
15014-20000-05942,1 or 2 Family Dwelling,12/24/2015,"$26,000.00 "
12014-20000-04247,1 or 2 Family Dwelling,7/12/2013,"$34,000.00 "
13010-10000-00935,Apartment,8/17/2015,"$1,000,800.00 "
15010-20000-00927,1 or 2 Family Dwelling,8/21/2015,"$675,000.00 "
14014-10000-01015,1 or 2 Family Dwelling,9/25/2014,"$200,000.00 "
15014-20000-05562,1 or 2 Family Dwelling,12/18/2015,"$50,000.00 "
13014-20000-05282,1 or 2 Family Dwelling,5/28/2014,"$41,000.00 "
15014-10000-00372,1 or 2 Family Dwelling,2/20/2015,"$20,000.00 "
15010-20001-02835,1 or 2 Family Dwelling,12/31/2015,"$16,160.00 "
15010-20000-03323,1 or 2 Family Dwelling,11/12/2015,"$120,000.00 "
14014-20000-03936,1 or 2 Family Dwelling,10/22/2014,"$20,000.00 "
15014-10000-01553,1 or 2 Family Dwelling,4/24/2015,"$10,400.00 "
13014-20001-02547,1 or 2 Family Dwelling,7/22/2013,$501.00 
14014-20000-04649,1 or 2 Family Dwelling,12/17/2014,"$8,000.00 "
14010-20000-03513,Apartment,5/1/2015,"$371,000.00 "
14016-20000-25149,1 or 2 Family Dwelling,3/2/2015,"$100,000.00 "
13014-20000-00382,1 or 2 Family Dwelling,2/8/2013,"$50,000.00 "
14010-20000-01250,Apartment,4/19/2016,"$12,000,000.00 "
14010-10000-01991,1 or 2 Family Dwelling,8/24/2015,"$300,000.00 "
15010-20000-00609,1 or 2 Family Dwelling,7/23/2015,"$500,000.00 "
13014-20000-03996,1 or 2 Family Dwelling,4/16/2014,"$7,150.00 "
12010-10000-02345,1 or 2 Family Dwelling,11/14/2014,"$180,000.00 "
14014-30000-05469,1 or 2 Family Dwelling,1/14/2015,"$18,000.00 "
15014-10000-00130,1 or 2 Family Dwelling,4/29/2015,"$350,000.00 "
14014-20000-00617,1 or 2 Family Dwelling,2/20/2014,"$12,000.00 "
15010-10000-00049,1 or 2 Family Dwelling,6/16/2015,"$975,000.00 "
14014-20000-00069,1 or 2 Family Dwelling,1/15/2014,"$4,000.00 "
13010-10000-03541,1 or 2 Family Dwelling,5/14/2015,"$331,000.00 "
16014-10000-00123,1 or 2 Family Dwelling,3/15/2016,"$25,000.00 "
15014-20000-01237,1 or 2 Family Dwelling,3/25/2015,"$7,000.00 "
15010-20000-01088,1 or 2 Family Dwelling,12/2/2015,"$35,000.00 "
15014-10000-01808,1 or 2 Family Dwelling,11/6/2015,"$50,000.00 "
14014-30001-05208,1 or 2 Family Dwelling,11/2/2015,"$232,000.00 "
14014-30000-02548,1 or 2 Family Dwelling,10/14/2014,"$500,000.00 "
15014-10000-03671,1 or 2 Family Dwelling,12/4/2015,"$50,000.00 "
16014-20000-00962,1 or 2 Family Dwelling,3/7/2016,"$42,500.00 "
13014-10000-02736,1 or 2 Family Dwelling,8/9/2013,"$88,000.00 "
13010-30000-03272,Apartment,3/25/2016,"$1,500,000.00 "
15014-20000-00178,1 or 2 Family Dwelling,1/15/2015,"$50,000.00 "
14010-70000-00415,1 or 2 Family Dwelling,2/24/2014,"$27,000.00 "
15014-10000-02929,1 or 2 Family Dwelling,7/2/2015,"$10,000.00 "
13010-20000-01985,1 or 2 Family Dwelling,5/14/2015,"$440,000.00 "
13014-20000-00439,1 or 2 Family Dwelling,3/6/2015,"$50,000.00 "
13014-30000-05344,1 or 2 Family Dwelling,8/21/2014,"$41,000.00 "
13010-10000-00933,Apartment,8/17/2015,"$1,501,200.00 "
13010-20000-00348,Commercial,6/6/2013,"$10,000.00 "
13010-20000-01150,1 or 2 Family Dwelling,8/22/2013,"$90,000.00 "
12014-10000-03671,Commercial,2/13/2013,"$225,000.00 "
12014-20000-03540,1 or 2 Family Dwelling,3/29/2013,"$70,000.00 "
15010-20000-02331,Apartment,3/3/2016,"$800,000.00 "
16014-20000-00806,1 or 2 Family Dwelling,3/15/2016,"$58,000.00 "
15010-20000-01168,1 or 2 Family Dwelling,3/31/2015,"$2,240.00 "
15014-30000-02587,1 or 2 Family Dwelling,6/11/2015,"$11,000.00 "
14010-20000-01092,1 or 2 Family Dwelling,4/11/2014,"$5,000.00 "
15014-20000-02606,1 or 2 Family Dwelling,10/2/2015,"$200,000.00 "
13014-20000-02560,1 or 2 Family Dwelling,6/28/2013,"$23,000.00 "
14014-10000-04284,Commercial,1/28/2015,"$4,495,520.00 "
14014-20000-05285,1 or 2 Family Dwelling,1/2/2015,"$6,250.00 "
15010-10000-03161,1 or 2 Family Dwelling,1/20/2016,"$354,695.00 "
15014-70000-01347,1 or 2 Family Dwelling,6/25/2015,"$85,000.00 "
12014-10000-03698,1 or 2 Family Dwelling,5/2/2013,"$73,000.00 "
15014-30000-00241,1 or 2 Family Dwelling,1/30/2015,"$10,000.00 "
15014-20000-03998,1 or 2 Family Dwelling,9/10/2015,"$55,000.00 "
13014-20000-05420,1 or 2 Family Dwelling,7/22/2014,"$150,000.00 "
14010-10000-00351,Apartment,2/10/2016,"$3,338,219.00 "
13014-20000-04098,1 or 2 Family Dwelling,10/7/2013,"$28,000.00 "
13014-10000-02994,1 or 2 Family Dwelling,8/12/2013,"$48,000.00 "
15010-20000-01962,1 or 2 Family Dwelling,5/29/2015,"$10,700.00 "
14010-20000-04136,1 or 2 Family Dwelling,7/27/2015,"$105,000.00 "
14010-20000-02678,1 or 2 Family Dwelling,12/17/2014,"$80,000.00 "
13014-20000-00566,1 or 2 Family Dwelling,2/15/2013,"$50,000.00 "
13014-20000-05217,1 or 2 Family Dwelling,2/6/2014,"$90,000.00 "
15014-20004-01908,1 or 2 Family Dwelling,10/9/2015,"$4,000.00 "
15014-20000-01051,1 or 2 Family Dwelling,5/13/2015,"$750,000.00 "
15010-20000-02670,1 or 2 Family Dwelling,12/24/2015,"$24,500.00 "
15010-70000-00590,1 or 2 Family Dwelling,2/24/2015,"$26,400.00 "
14014-20000-03117,1 or 2 Family Dwelling,7/28/2014,"$18,000.00 "
14010-20000-00377,Commercial,7/30/2014,"$15,000.00 "
13016-10000-09533,Commercial,4/8/2014,"$5,770,000.00 "
13010-20000-03234,Apartment,2/12/2016,"$490,000.00 "
15010-30000-01717,1 or 2 Family Dwelling,1/14/2016,"$80,000.00 "
13014-20000-03177,1 or 2 Family Dwelling,12/30/2013,"$100,000.00 "
13010-70000-03270,1 or 2 Family Dwelling,11/6/2013,"$9,100.00 "
15014-10000-05159,1 or 2 Family Dwelling,12/4/2015,"$37,269.00 "
15014-20000-05446,1 or 2 Family Dwelling,1/13/2016,"$71,000.00 "
15014-20000-02549,1 or 2 Family Dwelling,6/25/2015,"$6,000.00 "
15014-30000-03302,1 or 2 Family Dwelling,10/13/2015,"$180,000.00 "
14014-10000-01925,1 or 2 Family Dwelling,10/27/2014,"$750,000.00 "
16016-10000-01380,1 or 2 Family Dwelling,2/9/2016,"$30,000.00 "
15014-30000-00104,1 or 2 Family Dwelling,2/18/2016,"$260,000.00 "
14014-20000-02121,1 or 2 Family Dwelling,12/12/2014,"$73,000.00 "
15010-20000-00098,1 or 2 Family Dwelling,10/5/2015,"$23,000.00 "
13010-20000-00911,1 or 2 Family Dwelling,5/1/2013,"$5,100.00 "
15014-20000-05127,1 or 2 Family Dwelling,11/10/2015,"$50,000.00 "
13010-10000-04375,1 or 2 Family Dwelling,3/26/2015,"$3,245,000.00 "
15014-10000-03934,Commercial,9/30/2015,"$120,000.00 "
15014-20000-01471,1 or 2 Family Dwelling,6/8/2015,"$115,000.00 "
15014-30000-03708,1 or 2 Family Dwelling,3/21/2016,"$40,000.00 "
13016-10000-00791,1 or 2 Family Dwelling,2/20/2013,"$75,000.00 "
14014-20001-00120,1 or 2 Family Dwelling,9/15/2015,"$3,000.00 "
14010-10000-01000,Apartment,12/4/2015,"$4,449,367.00 "
15010-20000-01731,1 or 2 Family Dwelling,5/14/2015,"$1,800.00 "
13010-10000-02298,Commercial,1/23/2015,"$265,000.00 "
14014-10000-03647,1 or 2 Family Dwelling,9/19/2014,"$5,000.00 "
15010-20000-02808,1 or 2 Family Dwelling,9/11/2015,"$6,000.00 "
15014-30000-03453,1 or 2 Family Dwelling,8/25/2015,"$5,000.00 "
15010-10000-01439,1 or 2 Family Dwelling,7/8/2015,"$22,387.00 "
15014-20000-05422,1 or 2 Family Dwelling,3/18/2016,"$75,000.00 "
14014-20001-04798,1 or 2 Family Dwelling,11/6/2015,"$3,000.00 "
16014-20000-00483,1 or 2 Family Dwelling,2/4/2016,"$3,500.00 "
13010-20000-00354,1 or 2 Family Dwelling,2/7/2013,"$9,000.00 "
15014-10000-04197,1 or 2 Family Dwelling,9/14/2015,"$8,000.00 "
10010-10003-02536,1 or 2 Family Dwelling,10/11/2013,"$210,000.00 "
15010-10000-01767,1 or 2 Family Dwelling,1/15/2016,"$300,000.00 "
14014-10000-02338,Apartment,8/14/2014,"$3,000.00 "
14010-20000-02721,1 or 2 Family Dwelling,7/17/2015,"$40,000.00 "
15010-30000-02577,1 or 2 Family Dwelling,10/9/2015,"$25,000.00 "
12014-10000-02843,1 or 2 Family Dwelling,12/11/2013,"$300,000.00 "
13014-20000-02855,1 or 2 Family Dwelling,7/18/2013,"$3,600.00 "
16014-20000-01035,1 or 2 Family Dwelling,3/10/2016,"$26,000.00 "
16010-20000-00808,1 or 2 Family Dwelling,4/20/2016,"$438,000.00 "
14010-20000-00361,1 or 2 Family Dwelling,1/23/2015,"$400,000.00 "
14010-10000-03149,1 or 2 Family Dwelling,11/10/2014,"$16,000.00 "
13014-20000-04488,1 or 2 Family Dwelling,10/28/2013,"$38,000.00 "
15014-30000-03402,1 or 2 Family Dwelling,9/29/2015,"$90,000.00 "
13014-20000-00534,1 or 2 Family Dwelling,3/13/2013,"$75,000.00 "
15014-20000-00735,1 or 2 Family Dwelling,2/25/2015,"$20,000.00 "
14010-20000-00758,1 or 2 Family Dwelling,2/29/2016,"$203,286.00 "
15014-20000-04463,1 or 2 Family Dwelling,1/13/2016,"$15,000.00 "
10010-20002-02077,1 or 2 Family Dwelling,4/3/2015,"$27,000.00 "
14010-10000-01939,1 or 2 Family Dwelling,5/12/2015,"$215,740.00 "
15010-30000-02538,1 or 2 Family Dwelling,10/27/2015,"$1,090,000.00 "
13010-70000-01683,1 or 2 Family Dwelling,6/26/2013,"$22,000.00 "
14010-20000-00701,1 or 2 Family Dwelling,3/1/2016,"$177,363.00 "
13010-20000-01088,1 or 2 Family Dwelling,8/7/2013,"$82,200.00 "
14014-20000-02188,1 or 2 Family Dwelling,6/4/2015,"$50,000.00 "
15010-10000-01613,1 or 2 Family Dwelling,11/9/2015,"$270,000.00 "
15010-70000-01583,1 or 2 Family Dwelling,1/11/2016,"$122,500.00 "
14014-20000-01747,Commercial,3/10/2015,"$185,000.00 "
13014-20000-03008,1 or 2 Family Dwelling,10/11/2013,"$35,000.00 "
15014-20000-02259,1 or 2 Family Dwelling,6/4/2015,"$6,200.00 "
13020-10000-01332,Apartment,8/29/2013,"$50,000.00 "
13014-30000-02121,1 or 2 Family Dwelling,8/1/2013,"$12,000.00 "
13016-70000-26220,1 or 2 Family Dwelling,4/9/2014,"$30,000.00 "
13014-20000-01763,1 or 2 Family Dwelling,9/9/2013,"$46,500.00 "
14010-30000-02362,Apartment,5/7/2015,"$13,403,000.00 "
14014-20000-01725,1 or 2 Family Dwelling,5/12/2014,"$4,640.00 "
12010-10000-01470,Commercial,8/15/2013,"$24,000.00 "
14014-20000-03335,1 or 2 Family Dwelling,12/23/2014,"$125,000.00 "
14014-10000-02446,Apartment,9/19/2014,"$2,000.00 "
14014-20000-05509,1 or 2 Family Dwelling,3/19/2015,"$102,500.00 "
15014-20000-00267,1 or 2 Family Dwelling,4/24/2015,"$108,000.00 "
15010-10000-03493,1 or 2 Family Dwelling,12/7/2015,"$126,000.00 "
13014-30000-02878,1 or 2 Family Dwelling,7/25/2013,"$36,500.00 "
14014-20000-01180,1 or 2 Family Dwelling,7/16/2014,"$39,000.00 "
14014-10000-02780,1 or 2 Family Dwelling,8/13/2014,"$42,000.00 "
15014-20000-03047,1 or 2 Family Dwelling,8/3/2015,"$55,000.00 "
14014-20000-02469,1 or 2 Family Dwelling,6/11/2014,"$30,000.00 "
13014-20000-00654,1 or 2 Family Dwelling,4/2/2013,"$50,000.00 "
15010-20000-01301,1 or 2 Family Dwelling,6/17/2015,"$409,000.00 "
14010-20000-02709,1 or 2 Family Dwelling,2/5/2015,"$75,000.00 "
16014-10000-01224,1 or 2 Family Dwelling,4/4/2016,"$5,000.00 "
13014-20000-00766,1 or 2 Family Dwelling,3/1/2013,"$40,000.00 "
14010-30000-03454,1 or 2 Family Dwelling,12/23/2014,"$2,250,000.00 "
