PCIS Permit #,Permit Sub-Type,Issue Date,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,Floor Area-L.A. Building Code Definition,Council District,Latitude/Longitude
15014-20000-05776,1 or 2 Family Dwelling,12/31/2015,"$30,000.00 ",250,0,1,RE9-1,250,4,"(34.15363, -118.35502)"
15010-70000-04109,1 or 2 Family Dwelling,2/23/2016,"$162,000.00 ",1065.49,1,2,R1-1,1439.15,9,
13014-10000-03247,1 or 2 Family Dwelling,5/1/2014,"$6,400.00 ",941,,1,R2-1VL,42,13,"(34.0885, -118.27197)"
15014-30000-05499,1 or 2 Family Dwelling,1/13/2016,"$450,000.00 ",4880,0,2,R1-1VLD,3741,11,"(34.00241, -118.45522)"
15014-20000-05743,1 or 2 Family Dwelling,3/21/2016,"$100,000.00 ",134,,2,R1-1,134,5,"(34.07786, -118.43873)"
16014-20000-01739,1 or 2 Family Dwelling,4/19/2016,"$30,000.00 ",129,,0,RE9-1,129,5,"(34.16312, -118.48704)"
16014-20000-00205,1 or 2 Family Dwelling,2/1/2016,"$30,000.00 ",1521,0,1,R1-1,230,3,"(34.16431, -118.59614)"
13010-10000-01486,Apartment,4/14/2015,"$586,000.00 ",5195.67,3,2,(T)(Q)RD3-1,6504.45,7,"(34.23863, -118.36758)"
14014-20000-03450,1 or 2 Family Dwelling,8/14/2014,"$50,000.00 ",534,,1,R1-1,496,5,"(34.08412, -118.33955)"
13014-20000-04006,1 or 2 Family Dwelling,3/28/2014,"$83,000.00 ",472,1,2,R1-1,472,6,"(34.2204, -118.44581)"
13014-30000-03164,Apartment,10/3/2013,"$52,569.00 ",4476,,2,R1-1,1224,11,"(33.9878, -118.42842)"
14014-10000-04074,1 or 2 Family Dwelling,1/30/2015,"$1,008,800.00 ",13614,,2,RE15-1-HPOZ,3980,4,"(34.06741, -118.32894)"
15014-70000-04016,1 or 2 Family Dwelling,9/9/2015,"$2,500.00 ",119,,0,R2-1,119,9,"(34.00033, -118.251)"
14010-10000-03960,Commercial,6/26/2015,"$10,200,000.00 ",0,,5,M2-1,188032,11,"(33.9778, -118.41768)"
14014-10000-02334,Apartment,8/14/2014,"$3,000.00 ",0,,0,RD2-1,22,14,"(34.05648, -118.19578)"
15010-20000-01893,1 or 2 Family Dwelling,7/17/2015,"$22,000.00 ",0,,1,RA-1-K,576,7,"(34.31699, -118.43895)"
14010-10000-01947,Commercial,2/26/2016,"$600,000.00 ",5000,,1,C2-1VL,5000,9,"(33.9567, -118.25617)"
14014-20002-02258,1 or 2 Family Dwelling,9/21/2015,$501.00 ,12084,1,2,RE15-1-H,13428,5,"(34.09884, -118.41764)"
15014-20000-01267,1 or 2 Family Dwelling,5/15/2015,"$61,000.00 ",585,0,1,R1-1,585,2,"(34.18883, -118.36719)"
16014-70000-00893,1 or 2 Family Dwelling,3/23/2016,"$70,000.00 ",42,,0,R1-1XL,42,15,"(33.7251, -118.30539)"
15010-20000-00613,Commercial,11/6/2015,"$35,000.00 ",0,,1,MR2-1,171,3,"(34.23207, -118.58353)"
15014-20000-03644,1 or 2 Family Dwelling,8/10/2015,"$84,000.00 ",885.6,,0,RS-1,845.6,12,"(34.18616, -118.65076)"
13014-20000-02039,1 or 2 Family Dwelling,6/3/2013,"$25,000.00 ",210,,1,R1-1,210,3,"(34.1656, -118.60487)"
14014-20000-04748,1 or 2 Family Dwelling,11/7/2014,"$5,000.00 ",232.08,,2,RE11-1-H,232.08,12,"(34.2992, -118.57708)"
15010-20000-03771,1 or 2 Family Dwelling,1/20/2016,"$647,493.00 ",3684,1,2,RE-1,4336,12,
14010-10000-03181,1 or 2 Family Dwelling,5/27/2015,"$237,451.00 ",2351,1,2,R1-1-O,2351,5,"(34.06971, -118.38151)"
15014-20000-01016,1 or 2 Family Dwelling,4/14/2015,"$66,000.00 ",1273,0,1,R1-1,496,3,"(34.16566, -118.58913)"
15014-10000-02703,1 or 2 Family Dwelling,10/13/2015,"$114,206.00 ",2604,0,2,R1-1,640,2,"(34.1395, -118.38748)"
14010-20000-04050,Apartment,5/19/2015,"$1,500,000.00 ",10246,13,2,R3-1,15783,11,"(33.97422, -118.375)"
13014-20000-04219,1 or 2 Family Dwelling,12/26/2013,"$150,000.00 ",4542,0,2,R1-1,1266,4,"(34.1502, -118.35074)"
15010-10000-00530,1 or 2 Family Dwelling,6/5/2015,"$291,951.00 ",2248.5,2,3,C2-1,3135,10,"(34.0319, -118.38319)"
15014-70000-01696,1 or 2 Family Dwelling,10/28/2015,"$87,180.00 ",1604,0,1,R2-1XL,830,15,"(33.73143, -118.30012)"
13010-70000-01562,1 or 2 Family Dwelling,7/1/2013,"$7,200.00 ",0,,1,(T)R1-1,450,2,"(34.21503, -118.41244)"
14010-70000-00853,1 or 2 Family Dwelling,3/26/2014,"$34,000.00 ",335,,1,R2-1,335,9,"(33.99988, -118.26746)"
13014-20000-02706,1 or 2 Family Dwelling,7/12/2013,"$15,000.00 ",153,0,0,RE15-1,153,5,"(34.11043, -118.38874)"
14010-20000-03028,1 or 2 Family Dwelling,9/17/2014,"$6,000.00 ",0,,1,R1-1,324,3,"(34.19908, -118.51982)"
14014-20000-03633,1 or 2 Family Dwelling,9/10/2014,"$7,800.00 ",3254,0,0,RE15-1-H,78,5,"(34.13749, -118.47321)"
14010-10000-03825,1 or 2 Family Dwelling,9/17/2015,"$186,932.00 ",1683,1,2,RD2-1VL,1993,13,"(34.08169, -118.25844)"
13014-30000-01717,1 or 2 Family Dwelling,9/13/2013,"$56,000.00 ",2084,,1,R1-1,408,11,"(33.97151, -118.40617)"
15016-10000-14691,1 or 2 Family Dwelling,11/10/2015,"$100,000.00 ",346,0,1,R1-1-HPOZ,232,4,"(34.07009, -118.31543)"
13010-10000-00917,Apartment,9/23/2014,"$4,500,000.00 ",26351,27,3,C2-1VL,42564.8,1,"(34.0718, -118.25041)"
15014-20000-02411,1 or 2 Family Dwelling,6/4/2015,"$50,000.00 ",401,,1,R1-1,401,2,"(34.17772, -118.38956)"
15014-10000-03748,1 or 2 Family Dwelling,10/29/2015,"$120,000.00 ",1177,1,0,[Q]R3-1,1177,13,"(34.08309, -118.29912)"
13010-30000-02367,1 or 2 Family Dwelling,11/22/2013,"$20,000.00 ",309,,1,R1-1,367,5,"(34.0372, -118.39983)"
15014-20000-03773,1 or 2 Family Dwelling,8/18/2015,"$60,000.00 ",421,,1,RA-1,721,4,"(34.16656, -118.43632)"
13014-20000-02762,1 or 2 Family Dwelling,8/16/2013,"$14,500.00 ",463,,1,RA-1,128,3,"(34.16217, -118.58602)"
13014-30000-03609,1 or 2 Family Dwelling,9/4/2013,"$20,000.00 ",1606,,0,R1-1VLD,95,11,"(33.99837, -118.44874)"
13014-10000-02008,1 or 2 Family Dwelling,8/2/2013,"$18,000.00 ",1331.72,,0,R1-1,93.72,4,"(34.15945, -118.35279)"
14010-10000-03730,1 or 2 Family Dwelling,3/27/2015,"$530,000.00 ",3886,1,2,R1-1,4260,5,"(34.07716, -118.36464)"
14010-10000-01138,Apartment,4/10/2015,"$24,000,000.00 ",144883,162,7,C2-2D-O,234231,14,"(34.03913, -118.26523)"
15014-70001-03039,1 or 2 Family Dwelling,9/8/2015,"$4,000.00 ",282,,0,R1-1,39,10,"(34.00835, -118.32022)"
12014-10000-00815,1 or 2 Family Dwelling,9/4/2013,"$30,000.00 ",2471,,2,R1-1,146,8,"(33.9813, -118.29825)"
14014-20005-02358,1 or 2 Family Dwelling,4/13/2016,"$15,000.00 ",29,0,0,R2-1VL,29,13,"(34.08982, -118.273)"
14010-30000-03056,1 or 2 Family Dwelling,6/25/2015,"$1,350,000.00 ",7625,1,2,RE11-1,6738.2,11,"(34.04306, -118.51259)"
16014-10000-00231,1 or 2 Family Dwelling,1/29/2016,"$30,000.00 ",1492,,0,R1-1-RFA,0,7,"(34.27119, -118.30813)"
15010-30000-01835,Apartment,1/28/2016,"$5,000,000.00 ",48053,14,4,R3-1-HPOZ,41438,4,"(34.05889, -118.32583)"
15010-10000-01736,Apartment,12/9/2015,"$1,273,300.00 ",8479,3,4,C2(PV),9805,11,"(33.97489, -118.41688)"
15014-10000-02155,1 or 2 Family Dwelling,3/24/2016,"$250,000.00 ",2899,0,1,RE15-1-H,971,11,"(34.07218, -118.48692)"
14014-10000-04948,1 or 2 Family Dwelling,5/29/2015,"$195,839.00 ",1939,0,2,RD1.5-1,1939,11,"(33.99597, -118.47138)"
15014-20000-03812,1 or 2 Family Dwelling,10/23/2015,"$291,000.00 ",2755,0,2,R1-1,1980,5,"(34.15787, -118.52483)"
15014-20000-01511,1 or 2 Family Dwelling,5/18/2015,"$12,000.00 ",240,0,0,R1-1,240,3,"(34.16837, -118.53028)"
15010-20000-00007,1 or 2 Family Dwelling,3/27/2015,"$3,000.00 ",180,,1,RA-1,180,3,"(34.16422, -118.53565)"
13010-20000-02939,1 or 2 Family Dwelling,9/29/2015,"$150,000.00 ",725,1,2,RE11-1-H,1190,7,"(34.23788, -118.27645)"
15014-20000-04588,1 or 2 Family Dwelling,11/19/2015,"$37,000.00 ",246.1,0,0,RA-1,246.1,3,"(34.22653, -118.56494)"
13010-20000-02195,1 or 2 Family Dwelling,12/13/2013,"$25,080.00 ",0,0,1,R1-1,456,7,"(34.29837, -118.45713)"
14014-70000-04268,1 or 2 Family Dwelling,10/7/2014,"$13,000.00 ",121,,0,R3-1,121,8,"(33.96371, -118.28785)"
14010-20000-01195,1 or 2 Family Dwelling,2/10/2016,"$188,000.00 ",1215,1,3,(T)(Q)RD1.5-1,1748,6,"(34.19773, -118.4453)"
14014-20000-04487,1 or 2 Family Dwelling,10/17/2014,"$45,000.00 ",442.27,,0,R1-1VL-RIO,442.27,13,"(34.08807, -118.23284)"
15014-20000-02179,1 or 2 Family Dwelling,12/21/2015,"$62,000.00 ",618,,2,R1-1,618,11,"(34.03548, -118.46086)"
15014-20000-05808,1 or 2 Family Dwelling,1/11/2016,"$46,000.00 ",450,0,1,RA-1,450,3,"(34.18455, -118.62751)"
15014-20000-03172,1 or 2 Family Dwelling,11/25/2015,"$290,000.00 ",1578,,2,R1-1,2098,5,"(34.04825, -118.38453)"
15010-20000-04233,1 or 2 Family Dwelling,12/14/2015,"$5,000.00 ",0,,1,RE15-1-H,315,2,"(34.13395, -118.37829)"
14010-10000-02920,Apartment,12/3/2015,"$6,026,024.00 ",35936,46,4,[Q]C2-1VL-CDO,50992,14,"(34.12142, -118.22666)"
14014-10000-03556,1 or 2 Family Dwelling,8/18/2015,"$165,000.00 ",1321,,2,R1-1,1321,11,"(34.01423, -118.42914)"
14010-20000-02932,1 or 2 Family Dwelling,8/7/2015,"$20,000.00 ",78,,1,RE20-1-H,78,5,"(34.08313, -118.46916)"
15010-10000-02194,1 or 2 Family Dwelling,9/25/2015,"$18,000.00 ",292,,1,R2-1,102,14,"(34.04349, -118.19353)"
15014-10000-00952,1 or 2 Family Dwelling,4/2/2015,"$50,000.00 ",3053,0,1,R1-1,525,10,"(34.01417, -118.36193)"
15014-10000-04818,1 or 2 Family Dwelling,2/16/2016,"$225,000.00 ",4303,1,0,RE15-1-H,1346,5,"(34.11352, -118.46263)"
14014-10000-02472,Apartment,9/19/2014,"$2,000.00 ",0,,0,RD2-1,21.3,14,"(34.05913, -118.19297)"
15014-20000-01749,1 or 2 Family Dwelling,7/2/2015,"$75,000.00 ",376,,0,RS-1,376,7,"(34.25012, -118.45784)"
14014-30000-03298,1 or 2 Family Dwelling,10/23/2014,"$2,000.00 ",32,0,1,R1-1,32,5,"(34.01802, -118.41902)"
14010-20000-00691,1 or 2 Family Dwelling,2/29/2016,"$177,363.00 ",1319,1,3,RD1.5-1,1651,2,
13010-20000-04122,1 or 2 Family Dwelling,11/18/2015,"$253,000.00 ",1982,1,2,(T)(Q)RD4-1,2488,12,"(34.21547, -118.53448)"
14014-30000-04085,1 or 2 Family Dwelling,12/29/2014,"$250,000.00 ",3326,,2,R1-1,990,2,"(34.13763, -118.37013)"
14010-20000-01332,1 or 2 Family Dwelling,8/31/2015,"$1,000,000.00 ",6517,1,2,RS-1,6917,11,"(34.05919, -118.48479)"
15014-10000-03463,1 or 2 Family Dwelling,8/27/2015,"$65,000.00 ",362,,0,RE15-1-H,362,5,"(34.14867, -118.48448)"
12014-30000-02802,1 or 2 Family Dwelling,7/15/2014,"$250,000.00 ",2009.77,0,2,R1-1,2006.52,11,"(33.96621, -118.38092)"
15014-20000-01949,1 or 2 Family Dwelling,8/10/2015,"$122,000.00 ",4155,,2,RE15-1-H,629,5,"(34.09608, -118.43049)"
14014-20000-00749,1 or 2 Family Dwelling,2/27/2014,"$15,000.00 ",140,,1,R1-1,140,2,"(34.21702, -118.35222)"
15010-20000-02517,1 or 2 Family Dwelling,3/25/2016,"$15,000.00 ",,,1,RA-1,7,3,"(34.17022, -118.55461)"
15010-10000-01598,1 or 2 Family Dwelling,8/27/2015,"$24,200.00 ",0,,1,R2-1VL,420,2,"(34.17345, -118.36907)"
14010-20000-03775,1 or 2 Family Dwelling,3/5/2015,"$88,000.00 ",802.66,,1,R1-1,802.66,5,"(34.14864, -118.4722)"
14014-20000-03625,1 or 2 Family Dwelling,9/8/2014,"$11,000.00 ",108,,1,RA-1,108,12,"(34.29143, -118.49911)"
15014-70000-01743,1 or 2 Family Dwelling,7/28/2015,"$175,847.00 ",1141,,2,R1-1-RFA-RIO,1141,2,"(34.14516, -118.38238)"
12010-20000-00823,Commercial,1/9/2013,"$80,000.00 ",0,,1,M2-1,1160,6,"(34.2102, -118.43599)"
15010-10000-01575,1 or 2 Family Dwelling,1/11/2016,"$308,250.00 ",2787,2,2,RD2-1,2899,8,"(33.9561, -118.28187)"
13014-20000-05361,1 or 2 Family Dwelling,1/20/2015,"$66,000.00 ",1390,,2,R1-1,463,4,"(34.1126, -118.32252)"
14014-70000-00850,1 or 2 Family Dwelling,10/8/2014,"$35,000.00 ",365,,2,R2-1,365,15,"(33.93491, -118.24956)"
15014-30000-00326,1 or 2 Family Dwelling,2/24/2015,"$1,000.00 ",110,0,1,R1-1,110,11,"(34.04583, -118.54574)"
14014-20000-03037,1 or 2 Family Dwelling,8/12/2014,"$65,000.00 ",1058.25,0,0,R1-1,1058.25,3,"(34.19466, -118.54272)"
15010-30000-03763,1 or 2 Family Dwelling,3/29/2016,"$600,000.00 ",3029,1,3,R1-1-O,3377,5,"(34.05844, -118.435)"
13014-20000-01467,1 or 2 Family Dwelling,4/22/2013,"$25,000.00 ",221,,0,R1-1,221,2,"(34.21904, -118.41238)"
13014-30000-03503,1 or 2 Family Dwelling,10/18/2013,"$94,000.00 ",9262,,2,RE11-1-HPOZ,683,4,"(34.07137, -118.32897)"
14010-10000-00565,1 or 2 Family Dwelling,10/7/2015,"$2,425,000.00 ",12814,1,2,RE15-1-H,13914,11,"(34.07339, -118.47672)"
14016-10000-18301,1 or 2 Family Dwelling,12/3/2014,"$20,000.00 ",18.75,,2,R2-1-O,18.75,10,"(34.05056, -118.33741)"
15010-10000-00167,1 or 2 Family Dwelling,7/29/2015,"$90,000.00 ",395,,1,RE20-1-H,395,5,"(34.08239, -118.46048)"
15010-70000-04278,1 or 2 Family Dwelling,2/23/2016,"$138,000.00 ",1245.16,1,2,R1-1,1548.91,8,
14010-40000-04102,Commercial,6/23/2015,"$28,800.00 ",960,,1,R4-1,960,15,"(33.73315, -118.29441)"
15014-20000-00207,1 or 2 Family Dwelling,1/26/2015,"$6,000.00 ",46,,1,R1-1,46,11,"(34.02446, -118.44847)"
13014-20000-01628,1 or 2 Family Dwelling,5/31/2013,"$69,000.00 ",684,0,2,R1-1,684,12,"(34.25998, -118.59839)"
15010-20000-00236,1 or 2 Family Dwelling,5/18/2015,"$22,000.00 ",0,,1,R1-1,400,6,"(34.23832, -118.39615)"
14010-10000-02812,Commercial,1/13/2015,"$500,000.00 ",2861,,1,(T)(Q)C2-1VL,2861,4,"(34.16507, -118.44891)"
14010-20000-01704,1 or 2 Family Dwelling,8/7/2014,"$170,000.00 ",1355,1,3,R3-1,1715,13,"(34.10267, -118.31288)"
13014-20000-01728,1 or 2 Family Dwelling,6/14/2013,"$13,000.00 ",676,,1,R1-1,676,6,"(34.18808, -118.47944)"
14014-20000-05444,1 or 2 Family Dwelling,5/29/2015,"$20,000.00 ",2242,0,1,RE15-1-H,204,2,"(34.12693, -118.38743)"
14020-10000-01157,Commercial,6/16/2015,"$8,000.00 ",176,,1,M2-1,11.5,6,"(34.25007, -118.38648)"
13010-20000-02569,1 or 2 Family Dwelling,8/27/2013,"$49,000.00 ",496,,1,R1-1-RFA,496,7,"(34.25844, -118.28502)"
13010-20000-00579,1 or 2 Family Dwelling,2/25/2013,"$8,000.00 ",,,1,R1-1-O,360,7,"(34.25478, -118.4265)"
13010-20000-02124,1 or 2 Family Dwelling,2/27/2014,"$388,000.00 ",3555,1,2,RD3-1,4075,7,"(34.25161, -118.28057)"
14010-20000-00637,1 or 2 Family Dwelling,3/1/2016,"$177,363.00 ",1319,1,3,RD1.5-1,1651,2,
15014-20000-01729,1 or 2 Family Dwelling,7/22/2015,"$90,000.00 ",439,,1,R1-1,355,2,"(34.17102, -118.35924)"
12010-70000-02454,1 or 2 Family Dwelling,3/21/2013,"$8,000.00 ",198,,1,R1-1,198,8,"(33.97317, -118.31103)"
12014-20004-00441,1 or 2 Family Dwelling,10/28/2014,"$7,500.00 ",0,,1,RE15-1-H,44,4,"(34.12837, -118.36279)"
15014-20000-01141,1 or 2 Family Dwelling,7/29/2015,"$81,000.00 ",2671,,1,R1-1,800,12,"(34.26128, -118.50558)"
12010-20000-01809,1 or 2 Family Dwelling,2/5/2013,"$456,000.00 ",4517,1,1,RA-1,4999,5,"(34.15524, -118.52402)"
16014-20000-01779,1 or 2 Family Dwelling,4/20/2016,"$3,400.00 ",208,0,0,R1-1-RIO,208,3,"(34.19306, -118.53069)"
15010-20000-04696,1 or 2 Family Dwelling,1/6/2016,"$6,500.00 ",391,,1,RS-1,391,12,"(34.24798, -118.54061)"
14010-10000-02426,Apartment,6/9/2015,"$33,750,000.00 ",191683,151,22,[Q]R5-4D-O,260536,14,"(34.04173, -118.26157)"
16014-20000-00755,1 or 2 Family Dwelling,4/6/2016,"$90,000.00 ",683,0,1,RE11-1,683,12,"(34.29024, -118.48835)"
15014-30000-05710,1 or 2 Family Dwelling,2/25/2016,"$600,000.00 ",5838,0,2,R1-1-O,2450,5,"(34.04679, -118.40163)"
15014-20000-00478,1 or 2 Family Dwelling,3/17/2015,"$75,000.00 ",440,,1,R1-1,990,7,"(34.26908, -118.46252)"
15014-20000-00039,1 or 2 Family Dwelling,6/4/2015,"$70,000.00 ",468,0,2,RE40-1-H,468,5,"(34.12906, -118.4244)"
14014-20001-04863,1 or 2 Family Dwelling,5/4/2015,"$20,000.00 ",375,,0,RA-1,827,4,"(34.14256, -118.4399)"
13016-30000-05515,Commercial,10/3/2013,"$14,000.00 ",229.5,,0,C4-2D-SN,229.5,13,"(34.10229, -118.33907)"
14010-20000-01471,1 or 2 Family Dwelling,9/18/2014,"$5,200.00 ",0,0,1,R1-1,324,2,"(34.22034, -118.36251)"
13010-20000-04162,1 or 2 Family Dwelling,8/27/2015,"$182,000.00 ",1441,1,2,(T)(Q)RD1.5-1,1992,7,"(34.25922, -118.40237)"
12014-30000-03011,1 or 2 Family Dwelling,3/5/2013,"$135,000.00 ",1521,,1,R1-1,1003,14,"(34.10916, -118.20711)"
15014-10000-05259,Commercial,3/29/2016,"$12,000,000.00 ",115936,,4,M3-1-RIO,106043,14,"(34.04337, -118.23442)"
15014-10000-02758,1 or 2 Family Dwelling,7/28/2015,"$65,000.00 ",420,0,0,R1-1,420,10,"(34.01576, -118.32723)"
15014-20000-02126,1 or 2 Family Dwelling,5/15/2015,"$30,500.00 ",157,,1,RS-1,157,6,"(34.23719, -118.45678)"
13010-10000-02190,1 or 2 Family Dwelling,7/29/2015,"$90,000.00 ",836,,1,R3-1,900,11,"(33.99929, -118.42495)"
13014-40000-05231,1 or 2 Family Dwelling,4/25/2014,"$88,342.00 ",517.75,,2,R1-1XL,665,15,"(33.80777, -118.30822)"
13010-20000-01709,1 or 2 Family Dwelling,6/13/2013,"$70,000.00 ",693,,1,R1-1,693,6,"(34.21588, -118.39369)"
16014-20000-01710,1 or 2 Family Dwelling,4/19/2016,"$5,200.00 ",320,,1,RS-1,320,7,"(34.25102, -118.45728)"
13010-20000-01522,1 or 2 Family Dwelling,6/17/2013,"$15,000.00 ",0,,1,R1-1,324,7,"(34.26503, -118.46235)"
15014-10000-05902,1 or 2 Family Dwelling,1/8/2016,"$26,000.00 ",221,,0,R1-1-RIO,221,13,"(34.13052, -118.26915)"
14010-10000-01577,1 or 2 Family Dwelling,11/21/2014,"$334,000.00 ",3335,1,2,RE15-1-H,3983,4,"(34.1414, -118.44623)"
15010-10000-01438,1 or 2 Family Dwelling,7/8/2015,"$22,387.00 ",0,,1,R1-1,407,4,
14010-20000-02514,1 or 2 Family Dwelling,3/4/2015,"$350,000.00 ",2932,1,2,R1-1,3381,10,
16014-20000-00527,1 or 2 Family Dwelling,4/13/2016,"$64,000.00 ",2197,0,2,R1-1-RIO,664,5,"(34.1787, -118.50855)"
14010-30000-02185,1 or 2 Family Dwelling,9/14/2015,"$2,820,000.00 ",12798,1,2,RE15-1-H,14277,4,"(34.09909, -118.3877)"
14010-20000-00645,1 or 2 Family Dwelling,9/2/2014,"$177,363.00 ",1308,1,3,(T)R3-1,1640,2,
16010-70000-00812,1 or 2 Family Dwelling,4/19/2016,"$39,600.00 ",0,,1,RE11-1-RIO,720,6,"(34.18834, -118.46741)"
15014-20000-04970,1 or 2 Family Dwelling,11/6/2015,"$50,000.00 ",226,0,2,RD6-1,226,12,"(34.29149, -118.56728)"
14014-10000-00842,1 or 2 Family Dwelling,5/12/2014,"$50,000.00 ",4439,0,2,RE11-1,95,11,"(34.04475, -118.48562)"
13010-20000-04107,1 or 2 Family Dwelling,11/18/2015,"$253,000.00 ",2012,1,2,(T)(Q)RD4-1,2519,12,"(34.21547, -118.53448)"
15014-20000-01515,1 or 2 Family Dwelling,9/25/2015,"$200,000.00 ",1778,,3,R1-1VLD,870,11,"(33.99875, -118.45698)"
15014-70000-04601,1 or 2 Family Dwelling,10/30/2015,"$9,000.00 ",286,,0,C2-1VL,286,9,"(33.96183, -118.25659)"
13016-70001-06137,1 or 2 Family Dwelling,6/7/2013,"$13,000.00 ",126,,0,R1-1,126,8,"(34.01804, -118.32335)"
15014-20000-02041,1 or 2 Family Dwelling,6/17/2015,"$15,840.00 ",288,,1,RE9-1,288,6,"(34.197, -118.47153)"
15010-20000-02674,1 or 2 Family Dwelling,3/23/2016,"$239,690.00 ",2196,1,2,(T)(Q)RD3-1-RIO,2648,6,"(34.19365, -118.5109)"
14010-20000-02337,Apartment,4/10/2015,"$16,000,000.00 ",95585,125,5,C4-1,153798,2,"(34.17195, -118.37999)"
13010-10000-04336,1 or 2 Family Dwelling,6/9/2015,"$300,000.00 ",2175,1,3,RD1.5-1-O,2605,11,"(33.98812, -118.4662)"
14014-10000-04170,1 or 2 Family Dwelling,10/8/2014,"$10,000.00 ",490,,1,R2-1,210,15,"(33.93464, -118.25711)"
15014-10000-00151,1 or 2 Family Dwelling,2/6/2015,"$6,500.00 ",68,0,1,R1-1,68,8,"(33.99601, -118.31725)"
15010-30000-00244,1 or 2 Family Dwelling,7/10/2015,"$620,000.00 ",3844,1,2,R1-1,4329,5,"(34.03657, -118.40744)"
15010-20000-03572,1 or 2 Family Dwelling,11/24/2015,"$1,533,000.00 ",6272,1,2,RE11-1-RFA-RIO,6652,2,"(34.14313, -118.38444)"
14014-10002-04179,1 or 2 Family Dwelling,5/1/2015,$0.00 ,0,0,0,R1-1-HPOZ,967,4,"(34.07565, -118.32049)"
15016-10000-09078,1 or 2 Family Dwelling,6/30/2015,"$30,000.00 ",1323,,0,RD2-1VL,176,13,"(34.09137, -118.26617)"
13014-70000-03248,1 or 2 Family Dwelling,8/29/2013,"$37,000.00 ",319,,0,RD3-1-O,680,10,"(34.02898, -118.32583)"
16014-20000-01080,1 or 2 Family Dwelling,3/14/2016,"$10,000.00 ",90,0,1,R1-1,90,7,"(34.30521, -118.43753)"
14014-20000-02297,Apartment,10/16/2015,"$50,000.00 ",499,,0,[Q]R4-1VL,499,4,"(34.10538, -118.33269)"
15014-10000-00173,1 or 2 Family Dwelling,2/17/2015,"$13,500.00 ",89.7,0,0,R1-1,89.7,11,"(34.04181, -118.53788)"
15014-10000-01704,1 or 2 Family Dwelling,12/15/2015,"$325,000.00 ",3953,0,3,R1-1,2670,11,"(33.98626, -118.45882)"
14014-30000-04560,1 or 2 Family Dwelling,3/31/2015,"$100,000.00 ",9535,,2,RE20-1-H,2497,5,"(34.09635, -118.42605)"
14010-10000-00118,1 or 2 Family Dwelling,4/21/2015,"$15,000.00 ",256,,1,[Q]CM-1,256,9,"(33.98958, -118.28916)"
15016-20002-07183,1 or 2 Family Dwelling,4/8/2016,"$1,000.00 ",40,,0,RA-1,40,3,"(34.15584, -118.55423)"
15014-20000-04198,1 or 2 Family Dwelling,10/20/2015,"$46,000.00 ",464,,0,R1-1-RIO,450,4,"(34.15485, -118.42885)"
14010-10000-00301,Commercial,1/15/2015,"$1,000,000.00 ",6570,4,3,RD2-1,9488,11,"(33.99889, -118.40587)"
15014-70000-03803,1 or 2 Family Dwelling,12/29/2015,"$59,400.00 ",734,,0,R1-1,769,8,"(33.93635, -118.28817)"
14014-20001-04632,1 or 2 Family Dwelling,8/5/2015,"$10,000.00 ",2018,1,1,R1-1-RFA,2425,7,"(34.26646, -118.29601)"
13014-70000-04248,1 or 2 Family Dwelling,10/23/2013,"$44,300.00 ",438,,0,R1-1VLD,438,11,"(34.00732, -118.44889)"
15010-20000-02475,1 or 2 Family Dwelling,7/10/2015,"$2,500.00 ",,,1,RA-1,234,3,"(34.16765, -118.54464)"
13010-20000-04168,1 or 2 Family Dwelling,8/27/2015,"$182,000.00 ",1441,1,2,(T)(Q)RD1.5-1,1992,7,"(34.25922, -118.40237)"
15010-20000-04614,1 or 2 Family Dwelling,4/12/2016,$512.00 ,32,0,1,RE15-1-H,32,5,"(34.14444, -118.50104)"
13014-20000-05011,1 or 2 Family Dwelling,12/4/2013,"$5,000.00 ",20,,1,R1-1-RFA,20,7,"(34.26121, -118.28999)"
13014-20000-03037,1 or 2 Family Dwelling,8/6/2013,"$49,995.00 ",838,0,0,R1-1-RFA,477,7,"(34.25869, -118.30499)"
15014-30000-03533,1 or 2 Family Dwelling,8/4/2015,"$2,000.00 ",120,0,0,R1-1,120,11,"(34.05413, -118.52413)"
15010-30000-04123,1 or 2 Family Dwelling,2/18/2016,"$1,000,000.00 ",3813,1,2,R1-1,6439,11,"(34.05094, -118.52076)"
14014-20000-01439,1 or 2 Family Dwelling,4/9/2014,"$20,200.00 ",264,,0,RS-1,264,12,"(34.29701, -118.54458)"
15014-10000-00296,1 or 2 Family Dwelling,5/21/2015,"$200,000.00 ",431,0,0,RE11-1,431,4,"(34.11005, -118.30547)"
15014-10000-05717,Commercial,4/19/2016,"$520,000.00 ",5556,,1,[Q]C2-1VL,6454,13,"(34.08016, -118.2554)"
12014-70000-03389,1 or 2 Family Dwelling,3/29/2013,"$55,066.00 ",466,,1,R2-1,466,15,"(33.95274, -118.23952)"
15014-20000-02716,1 or 2 Family Dwelling,6/19/2015,"$5,000.00 ",3976.1,0,1,RA-1,64.1,3,"(34.16147, -118.54071)"
15014-20000-02515,1 or 2 Family Dwelling,7/31/2015,"$50,000.00 ",480,,1,RS-1,507,3,"(34.21432, -118.6145)"
