PCIS Permit #,Permit Sub-Type,Issue Date,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,Floor Area-L.A. Building Code Definition,Council District,Latitude/Longitude
13014-10000-04679,1 or 2 Family Dwelling,5/28/2014,"$327,000.00 ",5555,0,2,RE11-1-H,1358,4,"(34.14805, -118.35489)"
15014-20000-04130,1 or 2 Family Dwelling,11/6/2015,"$150,000.00 ",1428,,2,R1-1,1488,2,"(34.21353, -118.40711)"
16014-10000-00171,1 or 2 Family Dwelling,4/21/2016,"$50,000.00 ",4211,0,2,RE20-1-H,22,5,"(34.07567, -118.45956)"
13014-20000-05388,1 or 2 Family Dwelling,5/9/2014,"$100,000.00 ",698,,2,RE11-1,698,12,"(34.26643, -118.53078)"
14014-20000-00594,1 or 2 Family Dwelling,6/27/2014,"$105,000.00 ",2135,,2,R1-1,1042,4,"(34.15623, -118.46194)"
13014-10000-04958,1 or 2 Family Dwelling,2/12/2014,"$50,000.00 ",35,,0,RE15-1-H,35,4,"(34.11332, -118.36792)"
15014-20000-03783,1 or 2 Family Dwelling,11/5/2015,"$112,000.00 ",965,,2,RE15-1-H,1532,4,"(34.13511, -118.44548)"
12010-10000-02110,1 or 2 Family Dwelling,8/20/2014,"$290,000.00 ",2340,1,2,R1-1,2757,4,"(34.1249, -118.3458)"
13014-70000-04636,1 or 2 Family Dwelling,11/15/2013,"$17,000.00 ",165,0,1,R1-1,165,8,"(33.9849, -118.3234)"
10010-20002-02463,1 or 2 Family Dwelling,9/26/2013,"$30,000.00 ",3480,,2,R1-1,0,1,"(34.11212, -118.21293)"
15014-20000-03660,1 or 2 Family Dwelling,8/19/2015,"$50,000.00 ",2087,0,1,R1-1,498,6,"(34.21653, -118.45516)"
12014-20000-03773,1 or 2 Family Dwelling,1/9/2013,"$18,500.00 ",184,0,1,R1-1,184,8,"(33.98306, -118.32633)"
13014-10000-02633,Apartment,2/13/2015,"$271,000.00 ",2611,2,1,R3-1,75,13,"(34.08263, -118.30785)"
15014-10000-03835,1 or 2 Family Dwelling,12/18/2015,"$50,000.00 ",1263,0,1,[Q]R1-1D,371,14,"(34.09704, -118.16684)"
15010-20000-02403,1 or 2 Family Dwelling,7/6/2015,"$15,000.00 ",153,,1,R1-1,153,2,"(34.18942, -118.39417)"
11010-10004-00453,1 or 2 Family Dwelling,4/2/2015,"$22,880.00 ",2932,,0,RE15-1-H,428,5,"(34.10187, -118.43631)"
14014-10000-05378,1 or 2 Family Dwelling,6/4/2015,"$53,600.00 ",469.2,0,0,RS-1-RIO,858.2,3,"(34.19358, -118.60992)"
